Country,Year,Codified
Argentina,1990,1
Argentina,1991,1
Argentina,1992,1
Argentina,1993,1
Argentina,1994,1
Argentina,1995,1
Argentina,1996,1
Argentina,1997,1
Argentina,1998,1
Argentina,1999,1
Argentina,2000,1
Argentina,2001,1
Argentina,2002,1
Argentina,2003,1
Argentina,2004,1
Argentina,2005,1
Argentina,2006,1
Argentina,2007,1
Argentina,2008,1
Argentina,2009,1
Argentina,2010,1
Argentina,2011,1
Argentina,2012,1
Argentina,2013,1
Argentina,2014,1
Argentina,2015,1
Argentina,2016,1
Argentina,2017,1
Argentina,2018,1
Bolivia,1990,1
Bolivia,1991,1
Bolivia,1992,1
Bolivia,1993,1
Bolivia,1994,1
Bolivia,1995,1
Bolivia,1996,1
Bolivia,1997,1
Bolivia,1998,1
Bolivia,1999,1
Bolivia,2000,1
Bolivia,2001,1
Bolivia,2002,1
Bolivia,2003,1
Bolivia,2004,1
Bolivia,2005,1
Bolivia,2006,1
Bolivia,2007,1
Bolivia,2008,1
Bolivia,2009,1
Bolivia,2010,1
Bolivia,2011,1
Bolivia,2012,1
Bolivia,2013,1
Bolivia,2014,1
Bolivia,2015,1
Bolivia,2016,1
Bolivia,2017,1
Bolivia,2018,1
Brazil,1990,1
Brazil,1991,1
Brazil,1992,1
Brazil,1993,1
Brazil,1994,1
Brazil,1995,1
Brazil,1996,1
Brazil,1997,1
Brazil,1998,1
Brazil,1999,1
Brazil,2000,1
Brazil,2001,1
Brazil,2002,1
Brazil,2003,1
Brazil,2004,1
Brazil,2005,1
Brazil,2006,1
Brazil,2007,1
Brazil,2008,1
Brazil,2009,1
Brazil,2010,1
Brazil,2011,1
Brazil,2012,1
Brazil,2013,1
Brazil,2014,1
Brazil,2015,1
Brazil,2016,1
Brazil,2017,1
Brazil,2018,1
Chile,1990,1
Chile,1991,1
Chile,1992,1
Chile,1993,1
Chile,1994,1
Chile,1995,1
Chile,1996,1
Chile,1997,1
Chile,1998,1
Chile,1999,1
Chile,2000,1
Chile,2001,1
Chile,2002,1
Chile,2003,1
Chile,2004,1
Chile,2005,1
Chile,2006,1
Chile,2007,1
Chile,2008,1
Chile,2009,1
Chile,2010,1
Chile,2011,1
Chile,2012,1
Chile,2013,1
Chile,2014,1
Chile,2015,1
Chile,2016,1
Chile,2017,1
Chile,2018,1
Colombia,1990,1
Colombia,1991,1
Colombia,1992,1
Colombia,1993,1
Colombia,1994,1
Colombia,1995,1
Colombia,1996,1
Colombia,1997,1
Colombia,1998,1
Colombia,1999,1
Colombia,2000,1
Colombia,2001,1
Colombia,2002,1
Colombia,2003,1
Colombia,2004,1
Colombia,2005,1
Colombia,2006,1
